Date,Location,Lease ID,Unit Number,SQM,Retailer,Sales,Sector,Sector detail
31/01/2014,Blanchardstown Centre,M00005034,Unit 601*****,1,Retailer 1,0,Kiosk,Internet Kiosk
03/03/2014,Blanchardstown Centre,M00005034,Unit 601*****,1,Retailer 1,0,Kiosk,Internet Kiosk
31/03/2014,Blanchardstown Centre,M00005034,Unit 601*****,1,Retailer 1,0,Kiosk,Internet Kiosk
01/05/2014,Blanchardstown Centre,M00005034,Unit 601*****,1,Retailer 1,0,Kiosk,Internet Kiosk
31/05/2014,Blanchardstown Centre,M00005034,Unit 601*****,1,Retailer 1,0,Kiosk,Internet Kiosk
01/07/2014,Blanchardstown Centre,M00005034,Unit 601*****,1,Retailer 1,0,Kiosk,Internet Kiosk
31/07/2014,Blanchardstown Centre,M00005034,Unit 601*****,1,Retailer 1,0,Kiosk,Internet Kiosk
31/08/2014,Blanchardstown Centre,M00005034,Unit 601*****,1,Retailer 1,0,Kiosk,Internet Kiosk
01/10/2014,Blanchardstown Centre,M00005034,Unit 601*****,1,Retailer 1,0,Kiosk,Internet Kiosk
31/10/2014,Blanchardstown Centre,M00005034,Unit 601*****,1,Retailer 1,0,Kiosk,Internet Kiosk
01/12/2014,Blanchardstown Centre,M00005034,Unit 601*****,1,Retailer 1,0,Kiosk,Internet Kiosk
31/12/2014,Blanchardstown Centre,M00005034,Unit 601*****,1,Retailer 1,0,Kiosk,Internet Kiosk
31/01/2015,Blanchardstown Centre,M00005034,Unit 601*****,1,Retailer 1,0,Kiosk,Internet Kiosk
03/03/2015,Blanchardstown Centre,M00005034,Unit 601*****,1,Retailer 1,0,Kiosk,Internet Kiosk
31/03/2015,Blanchardstown Centre,M00005034,Unit 601*****,1,Retailer 1,0,Kiosk,Internet Kiosk
01/05/2015,Blanchardstown Centre,M00005034,Unit 601*****,1,Retailer 1,0,Kiosk,Internet Kiosk
31/05/2015,Blanchardstown Centre,M00005034,Unit 601*****,1,Retailer 1,0,Kiosk,Internet Kiosk
01/07/2015,Blanchardstown Centre,M00005034,Unit 601*****,1,Retailer 1,0,Kiosk,Internet Kiosk
31/10/2016,Blanchardstown Centre,M00004936,Unit 218,316.99,Retailer 2,0,Fashion,Womens
01/12/2016,Blanchardstown Centre,M00004936,Unit 218,316.99,Retailer 2,0,Fashion,Womens
31/12/2016,Blanchardstown Centre,M00004936,Unit 218,316.99,Retailer 2,0,Fashion,Womens
31/01/2017,Blanchardstown Centre,M00004936,Unit 218,316.99,Retailer 2,0,Fashion,Womens
03/03/2017,Blanchardstown Centre,M00004936,Unit 218,316.99,Retailer 2,0,Fashion,Womens
31/03/2017,Blanchardstown Centre,M00004936,Unit 218,316.99,Retailer 2,0,Fashion,Womens
01/05/2017,Blanchardstown Centre,M00004936,Unit 218,316.99,Retailer 2,0,Fashion,Womens
31/05/2017,Blanchardstown Centre,M00004936,Unit 218,316.99,Retailer 2,0,Fashion,Womens
01/07/2017,Blanchardstown Centre,M00004936,Unit 218,316.99,Retailer 2,0,Fashion,Womens
31/07/2017,Blanchardstown Centre,M00004936,Unit 218,316.99,Retailer 2,0,Fashion,Womens
31/08/2017,Blanchardstown Centre,M00004936,Unit 218,316.99,Retailer 2,0,Fashion,Womens
01/05/2016,Blanchardstown Centre,M00004941,Unit 226,127.46,Retailer 3,0,Electrical,Computers
31/05/2016,Blanchardstown Centre,M00004941,Unit 226,127.46,Retailer 3,0,Electrical,Computers
01/07/2016,Blanchardstown Centre,M00004941,Unit 226,127.46,Retailer 3,0,Electrical,Computers
31/07/2016,Blanchardstown Centre,M00004941,Unit 226,127.46,Retailer 3,0,Electrical,Computers
01/05/2017,Blanchardstown Centre,M00004941,Unit 226,127.46,Retailer 3,0,Electrical,Computers
31/05/2017,Blanchardstown Centre,M00004941,Unit 226,127.46,Retailer 3,0,Electrical,Computers
01/07/2017,Blanchardstown Centre,M00004941,Unit 226,127.46,Retailer 3,0,Electrical,Computers
31/07/2017,Blanchardstown Centre,M00004941,Unit 226,127.46,Retailer 3,0,Electrical,Computers
31/08/2017,Blanchardstown Centre,M00004941,Unit 226,127.46,Retailer 3,0,Electrical,Computers
31/10/2016,Blanchardstown Centre,M00004949,Unit 234,301.47,Retailer 4,0,Fashion,Childrens
01/12/2016,Blanchardstown Centre,M00004949,Unit 234,301.47,Retailer 4,0,Fashion,Childrens
31/12/2016,Blanchardstown Centre,M00004949,Unit 234,301.47,Retailer 4,0,Fashion,Childrens
31/01/2017,Blanchardstown Centre,M00004949,Unit 234,301.47,Retailer 4,0,Fashion,Childrens
03/03/2017,Blanchardstown Centre,M00004949,Unit 234,301.47,Retailer 4,0,Fashion,Childrens
31/03/2017,Blanchardstown Centre,M00004949,Unit 234,301.47,Retailer 4,0,Fashion,Childrens
01/05/2017,Blanchardstown Centre,M00004949,Unit 234,301.47,Retailer 4,0,Fashion,Childrens
31/05/2017,Blanchardstown Centre,M00004949,Unit 234,301.47,Retailer 4,0,Fashion,Childrens
01/07/2017,Blanchardstown Centre,M00004949,Unit 234,301.47,Retailer 4,0,Fashion,Childrens
31/07/2017,Blanchardstown Centre,M00004949,Unit 234,301.47,Retailer 4,0,Fashion,Childrens
31/08/2017,Blanchardstown Centre,M00004949,Unit 234,301.47,Retailer 4,0,Fashion,Childrens
01/05/2017,Blanchardstown Centre,M00004961,Unit 248,104.98,Retailer 5,0,Kiosk,Dry Cleaner
31/05/2017,Blanchardstown Centre,M00004961,Unit 248,104.98,Retailer 5,0,Kiosk,Dry Cleaner
01/07/2017,Blanchardstown Centre,M00004961,Unit 248,104.98,Retailer 5,0,Kiosk,Dry Cleaner
31/07/2017,Blanchardstown Centre,M00004961,Unit 248,104.98,Retailer 5,0,Kiosk,Dry Cleaner
31/08/2017,Blanchardstown Centre,M00004961,Unit 248,104.98,Retailer 5,0,Kiosk,Dry Cleaner
31/07/2016,Blanchardstown Centre,M00005039,Unit 607*****,1,Retailer 6,0,Kiosk,Photo Booth
31/01/2017,Blanchardstown Centre,M00005039,Unit 607*****,1,Retailer 6,0,Kiosk,Photo Booth
01/10/2015,Blanchardstown Centre,M00005050,Unit 624,1,Retailer 7,0,Kiosk,Advertising
31/10/2015,Blanchardstown Centre,M00005050,Unit 624,1,Retailer 7,0,Kiosk,Advertising
01/12/2015,Blanchardstown Centre,M00005050,Unit 624,1,Retailer 7,0,Kiosk,Advertising
31/12/2015,Blanchardstown Centre,M00005050,Unit 624,1,Retailer 7,0,Kiosk,Advertising
01/05/2017,Blanchardstown Centre,M00005050,Unit 624,1,Retailer 7,0,Kiosk,Advertising
31/05/2017,Blanchardstown Centre,M00005050,Unit 624,1,Retailer 7,0,Kiosk,Advertising
01/07/2017,Blanchardstown Centre,M00005050,Unit 624,1,Retailer 7,0,Kiosk,Advertising
31/07/2017,Blanchardstown Centre,M00005050,Unit 624,1,Retailer 7,0,Kiosk,Advertising
31/08/2017,Blanchardstown Centre,M00005050,Unit 624,1,Retailer 7,0,Kiosk,Advertising
31/07/2018,Blanchardstown Centre,M00005034,Unit 601*****,1,Retailer 1,0,Kiosk,Internet Kiosk
31/08/2018,Blanchardstown Centre,M00005034,Unit 601*****,1,Retailer 1,0,Kiosk,Internet Kiosk
01/10/2018,Blanchardstown Centre,M00005034,Unit 601*****,1,Retailer 1,0,Kiosk,Internet Kiosk
31/10/2018,Blanchardstown Centre,M00005034,Unit 601*****,1,Retailer 1,0,Kiosk,Internet Kiosk
01/12/2018,Blanchardstown Centre,M00005034,Unit 601*****,1,Retailer 1,0,Kiosk,Internet Kiosk
31/12/2018,Blanchardstown Centre,M00005034,Unit 601*****,1,Retailer 1,0,Kiosk,Internet Kiosk
31/01/2019,Blanchardstown Centre,M00005034,Unit 601*****,1,Retailer 1,0,Kiosk,Internet Kiosk
03/03/2019,Blanchardstown Centre,M00005034,Unit 601*****,1,Retailer 1,0,Kiosk,Internet Kiosk
31/03/2019,Blanchardstown Centre,M00005034,Unit 601*****,1,Retailer 1,0,Kiosk,Internet Kiosk
01/05/2019,Blanchardstown Centre,M00005034,Unit 601*****,1,Retailer 1,0,Kiosk,Internet Kiosk
31/05/2019,Blanchardstown Centre,M00005034,Unit 601*****,1,Retailer 1,0,Kiosk,Internet Kiosk
01/07/2019,Blanchardstown Centre,M00005034,Unit 601*****,1,Retailer 1,0,Kiosk,Internet Kiosk
31/07/2019,Blanchardstown Centre,M00005034,Unit 601*****,1,Retailer 1,0,Kiosk,Internet Kiosk
31/08/2019,Blanchardstown Centre,M00005034,Unit 601*****,1,Retailer 1,0,Kiosk,Internet Kiosk
01/05/2018,Blanchardstown Centre,M00005039,Unit 607*****,1,Retailer 6,0,Kiosk,Photo Booth
31/05/2018,Blanchardstown Centre,M00005039,Unit 607*****,1,Retailer 6,0,Kiosk,Photo Booth
01/07/2018,Blanchardstown Centre,M00005039,Unit 607*****,1,Retailer 6,0,Kiosk,Photo Booth
31/07/2018,Blanchardstown Centre,M00005039,Unit 607*****,1,Retailer 6,0,Kiosk,Photo Booth
31/08/2018,Blanchardstown Centre,M00005039,Unit 607*****,1,Retailer 6,0,Kiosk,Photo Booth
01/10/2018,Blanchardstown Centre,M00005039,Unit 607*****,1,Retailer 6,0,Kiosk,Photo Booth
31/10/2018,Blanchardstown Centre,M00005039,Unit 607*****,1,Retailer 6,0,Kiosk,Photo Booth
01/12/2018,Blanchardstown Centre,M00005039,Unit 607*****,1,Retailer 6,0,Kiosk,Photo Booth
31/12/2018,Blanchardstown Centre,M00005039,Unit 607*****,1,Retailer 6,0,Kiosk,Photo Booth
31/01/2019,Blanchardstown Centre,M00005039,Unit 607*****,1,Retailer 6,0,Kiosk,Photo Booth
03/03/2019,Blanchardstown Centre,M00005039,Unit 607*****,1,Retailer 6,0,Kiosk,Photo Booth
31/03/2019,Blanchardstown Centre,M00005039,Unit 607*****,1,Retailer 6,0,Kiosk,Photo Booth
01/05/2019,Blanchardstown Centre,M00005039,Unit 607*****,1,Retailer 6,0,Kiosk,Photo Booth
31/05/2019,Blanchardstown Centre,M00005039,Unit 607*****,1,Retailer 6,0,Kiosk,Photo Booth
01/07/2019,Blanchardstown Centre,M00005039,Unit 607*****,1,Retailer 6,0,Kiosk,Photo Booth
31/07/2019,Blanchardstown Centre,M00005039,Unit 607*****,1,Retailer 6,0,Kiosk,Photo Booth
31/08/2019,Blanchardstown Centre,M00005039,Unit 607*****,1,Retailer 6,0,Kiosk,Photo Booth
01/10/2019,Blanchardstown Centre,M00005038,Unit 606,5,Retailer 8,0,Kiosk,F&B
31/10/2019,Blanchardstown Centre,M00005038,Unit 606,5,Retailer 8,0,Kiosk,F&B
01/12/2019,Blanchardstown Centre,M00005038,Unit 606,5,Retailer 8,0,Kiosk,F&B
31/12/2019,Blanchardstown Centre,M00005038,Unit 606,5,Retailer 8,0,Kiosk,F&B
31/01/2020,Blanchardstown Centre,M00005038,Unit 606,5,Retailer 8,0,Kiosk,F&B
02/03/2020,Blanchardstown Centre,M00005038,Unit 606,5,Retailer 8,0,Kiosk,F&B
31/03/2020,Blanchardstown Centre,M00005038,Unit 606,5,Retailer 8,0,Kiosk,F&B
01/05/2020,Blanchardstown Centre,M00005038,Unit 606,5,Retailer 8,0,Kiosk,F&B
31/05/2020,Blanchardstown Centre,M00005038,Unit 606,5,Retailer 8,0,Kiosk,F&B
01/10/2019,Blanchardstown Centre,M00011380,Unit 625,1,Retailer 9,0,Kiosk,Car Wash
31/10/2019,Blanchardstown Centre,M00011380,Unit 625,1,Retailer 9,0,Kiosk,Car Wash
01/12/2019,Blanchardstown Centre,M00011380,Unit 625,1,Retailer 9,0,Kiosk,Car Wash
31/12/2019,Blanchardstown Centre,M00011380,Unit 625,1,Retailer 9,0,Kiosk,Car Wash
31/01/2020,Blanchardstown Centre,M00011380,Unit 625,1,Retailer 9,0,Kiosk,Car Wash
02/03/2020,Blanchardstown Centre,M00011380,Unit 625,1,Retailer 9,0,Kiosk,Car Wash
31/03/2020,Blanchardstown Centre,M00011380,Unit 625,1,Retailer 9,0,Kiosk,Car Wash
01/05/2020,Blanchardstown Centre,M00011380,Unit 625,1,Retailer 9,0,Kiosk,Car Wash
31/05/2020,Blanchardstown Centre,M00011380,Unit 625,1,Retailer 9,0,Kiosk,Car Wash
31/01/2014,Blanchardstown Centre,M00004885,Unit 137,144.84,Retailer 10,0,F&B,Coffee Shop
03/03/2014,Blanchardstown Centre,M00004885,Unit 137,144.84,Retailer 10,0,F&B,Coffee Shop
01/05/2014,Blanchardstown Centre,M00004885,Unit 137,144.84,Retailer 10,0,F&B,Coffee Shop
31/05/2014,Blanchardstown Centre,M00004885,Unit 137,144.84,Retailer 10,0,F&B,Coffee Shop
31/07/2014,Blanchardstown Centre,M00004885,Unit 137,144.84,Retailer 10,0,F&B,Coffee Shop
31/08/2014,Blanchardstown Centre,M00004885,Unit 137,144.84,Retailer 10,0,F&B,Coffee Shop
31/10/2014,Blanchardstown Centre,M00004885,Unit 137,144.84,Retailer 10,0,F&B,Coffee Shop
01/12/2014,Blanchardstown Centre,M00004885,Unit 137,144.84,Retailer 10,0,F&B,Coffee Shop
31/01/2015,Blanchardstown Centre,M00004885,Unit 137,144.84,Retailer 10,0,F&B,Coffee Shop
03/03/2015,Blanchardstown Centre,M00004885,Unit 137,144.84,Retailer 10,0,F&B,Coffee Shop
01/05/2015,Blanchardstown Centre,M00004885,Unit 137,144.84,Retailer 10,0,F&B,Coffee Shop
31/05/2015,Blanchardstown Centre,M00004885,Unit 137,144.84,Retailer 10,0,F&B,Coffee Shop
31/07/2015,Blanchardstown Centre,M00004885,Unit 137,144.84,Retailer 10,0,F&B,Coffee Shop
31/08/2015,Blanchardstown Centre,M00004885,Unit 137,144.84,Retailer 10,0,F&B,Coffee Shop
31/01/2014,Blanchardstown Centre,M00004899,Unit 152,178.93,Retailer 11,0,Fashion,Mens
03/03/2014,Blanchardstown Centre,M00004899,Unit 152,178.93,Retailer 11,0,Fashion,Mens
31/03/2014,Blanchardstown Centre,M00004899,Unit 152,178.93,Retailer 11,0,Fashion,Mens
01/05/2014,Blanchardstown Centre,M00004899,Unit 152,178.93,Retailer 11,0,Fashion,Mens
31/05/2014,Blanchardstown Centre,M00004899,Unit 152,178.93,Retailer 11,0,Fashion,Mens
01/07/2014,Blanchardstown Centre,M00004899,Unit 152,178.93,Retailer 11,0,Fashion,Mens
31/07/2014,Blanchardstown Centre,M00004899,Unit 152,178.93,Retailer 11,0,Fashion,Mens
31/01/2014,Blanchardstown Centre,M00004950,Unit 236,89.74,Retailer 12,0,Health & Beauty,Beauty
03/03/2014,Blanchardstown Centre,M00004950,Unit 236,89.74,Retailer 12,0,Health & Beauty,Beauty
31/03/2014,Blanchardstown Centre,M00004950,Unit 236,89.74,Retailer 12,0,Health & Beauty,Beauty
01/05/2014,Blanchardstown Centre,M00004950,Unit 236,89.74,Retailer 12,0,Health & Beauty,Beauty
31/05/2014,Blanchardstown Centre,M00004950,Unit 236,89.74,Retailer 12,0,Health & Beauty,Beauty
01/07/2014,Blanchardstown Centre,M00004950,Unit 236,89.74,Retailer 12,0,Health & Beauty,Beauty
31/07/2014,Blanchardstown Centre,M00004950,Unit 236,89.74,Retailer 12,0,Health & Beauty,Beauty
31/08/2014,Blanchardstown Centre,M00004950,Unit 236,89.74,Retailer 12,0,Health & Beauty,Beauty
